argument -moms -dlis -moms-wl -dlis-wl -wl
1000 .00140000000000000000 0 .00060000000000000000 .00060000000000000000 .00080000000000000000
1500 .00150000000000000000 .00020000000000000000 .00170000000000000000 .00170000000000000000 .00010000000000000000
2000 0 0 0 .00040000000000000000 .00220000000000000000
2500 .00210000000000000000 .00030000000000000000 .00170000000000000000 .00040000000000000000 .00110000000000000000
3000 .00120000000000000000 .00120000000000000000 .00130000000000000000 .00050000000000000000 .00070000000000000000
3500 .00140000000000000000 .00110000000000000000 .00150000000000000000 .00200000000000000000 .00300000000000000000
4000 .00270000000000000000 .00180000000000000000 .00050000000000000000 .00160000000000000000 .00070000000000000000
4500 .00400000000000000000 .00150000000000000000 .00230000000000000000 .00430000000000000000 .00580000000000000000
5000 .00180000000000000000 .00410000000000000000 .00430000000000000000 .00300000000000000000 .00550000000000000000
5500 .00200000000000000000 .00260000000000000000 .00770000000000000000 .00790000000000000000 .00870000000000000000
6000 .00040000000000000000 .00370000000000000000 .00930000000000000000 .01110000000000000000 .00820000000000000000
6500 .00330000000000000000 .00290000000000000000 .00990000000000000000 .00760000000000000000 .00870000000000000000
7000 .00850000000000000000 .00520000000000000000 .01130000000000000000 .00980000000000000000 .00820000000000000000
7500 .00580000000000000000 .00760000000000000000 .01380000000000000000 .01420000000000000000 .01050000000000000000
8000 .00780000000000000000 .00930000000000000000 .01090000000000000000 .01000000000000000000 .01310000000000000000
8500 .00730000000000000000 .01190000000000000000 .01180000000000000000 .01330000000000000000 .01250000000000000000
9000 .00840000000000000000 .01280000000000000000 .01230000000000000000 .01570000000000000000 .01710000000000000000
9500 .01000000000000000000 .01060000000000000000 .01530000000000000000 .01770000000000000000 .01880000000000000000
10000 .01170000000000000000 .01330000000000000000 .01900000000000000000 .01650000000000000000 .01820000000000000000
