argument -malin-dpll -rand-dpll -moms-dpll -dlis-dpll -simple-dpll -malin-wl -rand-wl -moms-wl -dlis-wl -simple-wl -malin-dpll-cl -rand-dpll-cl -moms-dpll-cl -dlis-dpll-cl -simple-dpll-cl -malin-wl-cl -rand-wl-cl -moms-wl-cl -dlis-wl-cl -simple-wl-cl 
500 1.93112206459 2.02664709091 2.02460694313 1.5596280098 2.15620589256 0.305768013 0.453258037567 0.34021115303 0.243566989899 0.303834199905 2.03332710266 2.32145595551 2.09582805634 1.59971189499 2.18019795418 0.309120893478 0.314902067184 0.32756280899 0.244294881821 0.421047210693 
1000 6.32852983475 7.91998910904 6.76562809944 4.3027920723 6.94151687622 0.659106969833 0.749071121216 0.5671479702 0.471153974533 0.632054805756 6.37897801399 7.4918680191 6.09818100929 4.07671284676 6.95515704155 0.658241987228 0.775214910507 0.546100854874 0.418117046356 0.658128976822 
1500 11.700330019 13.4119839668 14.1789498329 7.5464091301 11.9884200096 1.1528031826 1.11041998863 0.665947914124 0.5657081604 1.07204890251 12.7689528465 13.191614151 11.6695961952 7.44352388382 14.2540979385 1.09821295738 1.1480050087 0.671998023987 0.583938837051 1.16936779022 
2000 18.0397241116 22.2549710274 19.2367808819 11.055243969 19.4660220146 1.69083499908 1.65863394737 0.977722883224 0.734548091888 1.7415471077 19.8938820362 19.2977080345 21.3398880959 10.7973661423 19.1161940098 1.69385194778 1.6166601181 0.841235876083 0.794006109238 1.64216017723 
2500 24.3645610809 25.6893250942 26.6109759808 13.3893880844 24.1787891388 2.43410587311 2.32831478119 1.00287485123 0.936501979828 2.27015304565 24.5356788635 27.0107300282 25.169686079 14.0311439037 31.5842409134 2.33620905876 2.42583107948 1.18701910973 0.925714015961 2.32076191902 
3000 28.0771260262 25.3934659958 30.6171169281 19.4241249561 27.5571110249 3.10076880455 3.17364692688 1.36463499069 1.12331819534 3.01766705513 25.9319560528 37.754349947 30.5775132179 18.806522131 21.8102769852 3.13672995567 3.14218497276 1.28434300423 1.21689319611 3.09694004059 
3500 18.1170089245 38.5755820274 48.3135890961 24.5097229481 24.8988449574 4.00144505501 4.07511210442 1.46029996872 1.22279119492 3.96439099312 23.8759920597 31.4348390102 37.3371229172 19.0461251736 26.5658140182 4.04432702065 3.92474293709 1.49444389343 1.31141591072 3.90029811859 
4000 18.3131670952 11.8040239811 14.2891619205 21.3632099628 14.8149950504 4.97461104393 4.99363899231 1.64914989471 1.42535996437 4.76728606224 27.7746841908 9.93652701378 16.3248841763 18.9097669125 17.6933941841 4.71334910393 4.73491501808 1.62421798706 1.50653815269 4.66792798042 
4500 9.76703214645 8.74579501152 9.34565997124 9.29201793671 10.1429021358 6.20125293732 6.05017495155 1.82882094383 1.61137294769 5.86559391022 8.77326893806 9.49184608459 9.59734106064 9.74878001213 10.0128529072 5.92570590973 5.99477982521 1.97945284843 1.61412000656 5.79095506668 
5000 9.90465307236 8.81200098991 8.65847706795 9.60801196098 9.19845199585 7.33573484421 7.21617007256 2.04828906059 1.77992296219 7.19979810715 8.32329106331 8.96420693398 7.61829710007 8.59200811386 8.65585684776 7.13950800896 7.28033304214 2.02332901955 1.7000579834 7.01260900497 
5500 8.96668410301 8.5182929039 7.96121406555 9.56592178345 8.37204194069 15.2920150757 13.9704270363 2.20536494255 1.96499800682 14.2130329609 8.39479589462 7.74517512321 9.69185090065 8.90146398544 8.73292708397 8.79885697365 13.4337601662 2.33788108826 2.05033802986 12.4821920395 
6000 8.51892399788 9.21855783463 7.96654105186 9.52505683899 8.36878204346 42.6070430279 53.4424850941 2.43081688881 2.06190800667 52.821876049 9.34278678894 10.7943348885 10.2697341442 9.31184697151 8.82102203369 48.2040119171 74.4902539253 2.44558000565 1.98993396759 58.1476948261 
6500 10.2216420174 8.95266795158 8.15914988518 9.14979290962 7.95953416824 127.524584055 104.697319984 2.65457701683 2.3018758297 106.890995979 9.42544007301 8.91973304749 9.39298295975 9.84420108795 9.32113003731 102.961936951 186.037739038 3.03206086159 2.24724197388 145.025598049 
7000 9.08244609833 8.73066306114 9.63863301277 9.60458993912 9.49600720406 74.6393048763 75.1829559803 3.50796198845 2.46515417099 63.8938062191 13.0117230415 9.72025895119 11.2125270367 10.3578388691 9.48431706429 48.0844218731 77.3967940807 3.01639914513 2.43102407455 51.5731079578 
7500 9.26971697807 8.85917806625 8.57133984566 8.92433285713 8.90757608414 66.1179578304 48.9587039948 4.0956029892 2.6282980442 58.4215590954 10.1541099548 10.1550009251 9.79050302505 10.3757021427 10.2617530823 45.3962419033 46.6803729534 3.34368991852 2.5461101532 54.5103638172 
8000 10.3640871048 10.7684841156 10.0162940025 10.5093150139 10.1140758991 52.928745985 99.5243039131 3.430300951 2.7097799778 53.9940860271 11.1775739193 10.5108129978 10.9391582012 11.410889864 10.4581570625 45.0982978344 45.6578621864 3.17788290977 2.69207191467 65.6383609772 
8500 10.0715050697 10.1164388657 10.0413858891 9.76329278946 10.3081121445 53.9637560844 67.2175738811 3.46652698517 2.74894189835 49.655146122 11.8400111198 11.6815810204 11.3931000233 10.3200640678 11.973731041 45.5721590519 51.5867249966 3.59345984459 2.73752403259 72.1908481121 
9000 11.6573209763 12.6786708832 11.671859026 11.5116040707 11.4145648479 50.729416132 78.6700978279 3.64190793037 2.84022378922 46.1436190605 12.1769859791 9.83093500137 11.9771630764 10.7450520992 10.9003219604 48.3622410297 52.378264904 3.98828721046 3.11268591881 78.09029603 
9500 13.0142641068 12.1120800972 11.2257611752 11.4733319283 11.4460930824 57.4419760704 70.0559570789 4.15817809105 3.20465016365 52.941382885 12.9733951092 12.2779500484 12.6494340897 11.9938309193 11.1764998436 56.2678451538 60.2208199501 4.42353487015 3.19771003723 73.5670590401 
10000 12.8175690174 13.7415459156 12.3512530327 12.7699980736 12.461304903 50.539329052 83.2296569347 4.01222014427 3.28700113297 62.1032240391 13.2610650063 12.5898249149 11.8393800259 12.9728569984 12.4544398785 50.6924939156 64.3687710762 4.36829900742 3.33670401573 100.043005943 
