argument -malin-wl -rand-wl -moms-wl -dlis-wl -wl 
1000 0.0953470945358 0.0822685003281 0.0650506973267 0.0707412004471 0.0877866029739 
1500 0.145746779442 0.144791793823 0.0977690219879 0.0943270921707 0.137716722488 
2000 0.209008312225 0.219241309166 0.134616494179 0.124720096588 0.215856289864 
2500 0.28183298111 0.284873390198 0.160379910469 0.152226996422 0.295778608322 
3000 0.3750426054 0.366457986832 0.184766507149 0.18476858139 0.350907802582 
3500 0.467658495903 0.455636191368 0.217366480827 0.227243590355 0.445587110519 
4000 0.5648250103 0.553928995132 0.234647202492 0.244293999672 0.563925409317 
4500 0.699186301231 0.684412693977 0.259239506721 0.279329895973 0.67707760334 
5000 0.796287584305 0.816572499275 0.307244801521 0.304899811745 0.797562909126 
5500 1.15340180397 1.84500470161 0.323631095886 0.34297170639 1.3220482111 
6000 
