argument -moms-wl -dlis-wl -moms-wl-cl -dlis-wl-cl 
1000 0.480330610275 0.418204832077 0.46823143959 0.448291826248 
1500 0.645402622223 0.592891454697 0.663416385651 0.604241228104 
2000 0.851834440231 0.799706077576 0.838355588913 0.718357563019 
2500 1.06737542152 0.914526033401 1.04137196541 0.939656686783 
3000 1.22740740776 1.10296015739 1.2841504097 1.08992161751 
3500 1.44289736748 1.20969338417 1.42474923134 1.23692317009 
4000 1.6010579586 1.42211275101 1.61786999702 1.37170000076 
4500 1.80032286644 1.53007125854 1.87079319954 1.55485463142 
5000 2.03778858185 1.74592676163 2.05765857697 1.69736237526 
5500 2.25983157158 1.82678894997 2.21664915085 1.85069694519 
6000 2.40431361198 1.97711601257 2.42584018707 2.03201036453 
6500 2.56702723503 2.17558765411 2.63193178177 2.15600523949 
7000 2.76554136276 2.28501367569 2.7342543602 2.31635966301 
7500 3.03162956238 2.47350578308 2.97422499657 2.44098658562 
8000 3.13393340111 2.62954378128 3.18105578423 2.58186721802 
8500 3.29369835854 2.81255383492 3.22935276031 2.78368239403 
9000 3.47980422974 2.91468176842 3.50622620583 2.93484678268 
9500 3.62182998657 3.04297575951 3.64377083778 3.02788357735 
10000 3.8558942318 3.18065299988 3.78609871864 3.2087583065 
